FIPS,cntyName.ihme2,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
13021,"Bibb, GA",35.66,43.14,51.28,45.15
13023,"Bleckley, GA",42.21,46.99,48.22,37.93
13025,"Brantley, GA",41.29,42.12,45.62,45.9
13027,"Brooks, GA",38.98,47.03,49.46,46.87
13029,"Bryan, GA",33.24,36.77,58.56,55.85
13031,"Bulloch, GA",36.73,42.98,57.21,50.26
13033,"Burke, GA",41.56,53.23,50.08,38.94
13035,"Butts, GA",40.61,44.12,46.99,40.96
13037,"Calhoun, GA",42.72,56.54,39.58,34.73
13039,"Camden, GA",36.92,37.16,59.55,51.67
13043,"Candler, GA",39.66,46.8,48.61,44.96
13045,"Carroll, GA",36.18,39.75,48.34,47.94
13047,"Catoosa, GA",38.98,38.78,44.91,45.39
13049,"Charlton, GA",44.32,49.48,39.92,36.25
13051,"Chatham, GA",33.89,40.89,60.2,53.07
13053,"Chattahoochee, GA",35.39,40.23,60.73,52.83
13055,"Chattooga, GA",42.14,43.78,43.8,39.13
13057,"Cherokee, GA",34.71,29.9,62.29,56.76
13059,"Clarke, GA",34.78,37.99,51.45,53.31
13061,"Clay, GA",40.37,53.13,46.33,39.44
13063,"Clayton, GA",37.62,44.92,51.6,47.68
13065,"Clinch, GA",44.13,48.82,41.3,38.06
13067,"Cobb, GA",33.38,29.4,59.87,59.19
13069,"Coffee, GA",39.47,44.5,43.25,41.87
13071,"Colquitt, GA",39.31,44.86,48.48,42.49
13073,"Columbia, GA",31.13,32.46,62.97,56.23
13075,"Cook, GA",39.7,47.49,45.63,38.65
13077,"Coweta, GA",34.33,36.56,53.92,52.72
13079,"Crawford, GA",39.13,42.96,49.29,43.97
13081,"Crisp, GA",38.9,49.18,46.35,40.75
13083,"Dade, GA",39.06,36.9,47.22,43.36
13085,"Dawson, GA",34.28,31.54,56.49,54.02
13087,"Decatur, GA",40.17,46.95,51.67,45.29
13089,"DeKalb, GA",28.34,38.15,58.51,54.79
13091,"Dodge, GA",42.56,44.3,49.65,39.55
13093,"Dooly, GA",40.82,51.52,44,35.87
13095,"Dougherty, GA",37.56,49.17,54.82,45.24
13097,"Douglas, GA",34.6,35.1,54.72,53.77
13099,"Early, GA",41.6,49.66,45.46,41.94
13101,"Echols, GA",44.17,45.26,39.9,38.75
13103,"Effingham, GA",38.61,41.97,54.79,53.04
13105,"Elbert, GA",40.34,44.28,48.64,42.39
13107,"Emanuel, GA",40.79,48.95,49.56,40.63
13109,"Evans, GA",38.65,47.96,46.39,41.91
13111,"Fannin, GA",35.91,36.34,51.16,49.25
13113,"Fayette, GA",29.64,30.35,61.42,60.01
13115,"Floyd, GA",34.19,40.62,53.23,43.2
13117,"Forsyth, GA",30.57,25.74,61.89,59.51
13119,"Franklin, GA",37.9,41.38,43.85,48.81
13121,"Fulton, GA",27.14,31.83,59.9,59.04
13123,"Gilmer, GA",36.92,39.22,49.39,46.79
13125,"Glascock, GA",40.56,43.71,47.43,42.22
13127,"Glynn, GA",37.94,37.35,53.99,54.75
13129,"Gordon, GA",36.95,38.93,50.29,45.78
13131,"Grady, GA",39.28,47.79,46.84,47.19
13133,"Greene, GA",38.08,45.13,43.5,45.81
13135,"Gwinnett, GA",31.24,32.06,56.78,56
13137,"Habersham, GA",35.88,38.55,53.52,46.93
13139,"Hall, GA",33.98,35.03,50.19,48.51
13141,"Hancock, GA",41.63,55.35,47.02,38.55
13143,"Haralson, GA",38.15,41.14,44.27,41.49
13145,"Harris, GA",35.8,37.34,58.93,50.19
13147,"Hart, GA",37.92,41.52,48.11,48.35
13149,"Heard, GA",41.11,44.02,41.15,41.87
13151,"Henry, GA",34.7,35.73,58.57,49.38
13153,"Houston, GA",35.75,39.13,60.88,48.29
13155,"Irwin, GA",39.8,46.09,47.6,43.58
13157,"Jackson, GA",38.55,35.18,51.43,52.78
13159,"Jasper, GA",37.62,40.56,49.33,48.2
13161,"Jeff Davis, GA",39.71,45.19,47.4,43.14
13163,"Jefferson, GA",42.95,55.19,45.96,38.19
13165,"Jenkins, GA",43.63,54.46,43.54,34.5
13167,"Johnson, GA",43.3,51.13,42.97,37.21
13169,"Jones, GA",36.45,39.27,55.14,50.01
13171,"Lamar, GA",40.88,45.69,48.71,42.36
13173,"Lanier, GA",41.61,44.68,45.32,42.63
13175,"Laurens, GA",38.98,45.34,50.12,43.55
13177,"Lee, GA",36.58,37.91,58.65,51.13
13179,"Liberty, GA",34.92,43.82,56.62,50.37
13181,"Lincoln, GA",40.02,45.23,48.39,45.38
13183,"Long, GA",39.2,46.32,47.46,45.25
13185,"Lowndes, GA",38.27,40.95,54.31,45.27
13187,"Lumpkin, GA",34.88,36.71,53.1,49.8
13189,"McDuffie, GA",42.36,48.77,45.58,40.27
13191,"McIntosh, GA",40.9,44.92,44.9,45.39
13193,"Macon, GA",40.84,49.97,44.7,37.42
13195,"Madison, GA",40.19,39.76,47.24,47.69
13197,"Marion, GA",39.72,46.11,46.69,42.84
13199,"Meriwether, GA",41.65,48.41,45.63,37.49
13201,"Miller, GA",38.48,43.37,46.56,45.08
13205,"Mitchell, GA",42.13,50.85,42.02,40.65
13207,"Monroe, GA",38.84,42.08,51.76,43.68
