"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Shannon County, SD"	"46113"	"2019"	"2019"	Suppressed	888	Suppressed
	"Shannon County, SD"	"46113"	"2020 "	"2020"	Suppressed	878	Suppressed
	"Spink County, SD"	"46115"	"2018"	"2018"	Suppressed	918	Suppressed
	"Spink County, SD"	"46115"	"2019"	"2019"	Suppressed	930	Suppressed
	"Spink County, SD"	"46115"	"2020 "	"2020"	Suppressed	965	Suppressed
	"Stanley County, SD"	"46117"	"2018"	"2018"	Suppressed	482	Suppressed
	"Stanley County, SD"	"46117"	"2019"	"2019"	Suppressed	490	Suppressed
	"Stanley County, SD"	"46117"	"2020 "	"2020"	Suppressed	543	Suppressed
	"Sully County, SD"	"46119"	"2018"	"2018"	Suppressed	255	Suppressed
	"Sully County, SD"	"46119"	"2019"	"2019"	Suppressed	268	Suppressed
	"Sully County, SD"	"46119"	"2020 "	"2020"	Suppressed	270	Suppressed
	"Todd County, SD"	"46121"	"2018"	"2018"	Suppressed	589	Suppressed
	"Todd County, SD"	"46121"	"2019"	"2019"	Suppressed	602	Suppressed
	"Todd County, SD"	"46121"	"2020 "	"2020"	Suppressed	628	Suppressed
	"Tripp County, SD"	"46123"	"2018"	"2018"	Suppressed	842	Suppressed
	"Tripp County, SD"	"46123"	"2019"	"2019"	Suppressed	848	Suppressed
	"Tripp County, SD"	"46123"	"2020 "	"2020"	Suppressed	858	Suppressed
	"Turner County, SD"	"46125"	"2018"	"2018"	Suppressed	1222	Suppressed
	"Turner County, SD"	"46125"	"2019"	"2019"	Suppressed	1252	Suppressed
	"Turner County, SD"	"46125"	"2020 "	"2020"	Suppressed	1284	Suppressed
	"Union County, SD"	"46127"	"2018"	"2018"	Suppressed	2194	Suppressed
	"Union County, SD"	"46127"	"2019"	"2019"	Suppressed	2299	Suppressed
	"Union County, SD"	"46127"	"2020 "	"2020"	Suppressed	2378	Suppressed
	"Walworth County, SD"	"46129"	"2018"	"2018"	Suppressed	890	Suppressed
	"Walworth County, SD"	"46129"	"2019"	"2019"	Suppressed	911	Suppressed
	"Walworth County, SD"	"46129"	"2020 "	"2020"	Suppressed	935	Suppressed
	"Yankton County, SD"	"46135"	"2018"	"2018"	Suppressed	3050	Suppressed
	"Yankton County, SD"	"46135"	"2019"	"2019"	Suppressed	3175	Suppressed
	"Yankton County, SD"	"46135"	"2020 "	"2020"	Suppressed	3390	Suppressed
	"Ziebach County, SD"	"46137"	"2018"	"2018"	Suppressed	197	Suppressed
	"Ziebach County, SD"	"46137"	"2019"	"2019"	Suppressed	203	Suppressed
	"Ziebach County, SD"	"46137"	"2020 "	"2020"	Suppressed	233	Suppressed
	"Anderson County, TN"	"47001"	"2018"	"2018"	10	11396	Unreliable
	"Anderson County, TN"	"47001"	"2019"	"2019"	Suppressed	11661	Suppressed
	"Anderson County, TN"	"47001"	"2020 "	"2020"	Suppressed	12115	Suppressed
	"Bedford County, TN"	"47003"	"2018"	"2018"	Suppressed	5880	Suppressed
	"Bedford County, TN"	"47003"	"2019"	"2019"	Suppressed	6015	Suppressed
	"Bedford County, TN"	"47003"	"2020 "	"2020"	Suppressed	6178	Suppressed
	"Benton County, TN"	"47005"	"2018"	"2018"	Suppressed	2968	Suppressed
	"Benton County, TN"	"47005"	"2019"	"2019"	Suppressed	2982	Suppressed
	"Benton County, TN"	"47005"	"2020 "	"2020"	Suppressed	3041	Suppressed
	"Bledsoe County, TN"	"47007"	"2018"	"2018"	Suppressed	2178	Suppressed
	"Bledsoe County, TN"	"47007"	"2019"	"2019"	Suppressed	2264	Suppressed
	"Bledsoe County, TN"	"47007"	"2020 "	"2020"	Suppressed	2277	Suppressed
	"Blount County, TN"	"47009"	"2018"	"2018"	Suppressed	20637	Suppressed
	"Blount County, TN"	"47009"	"2019"	"2019"	12	21276	Unreliable
	"Blount County, TN"	"47009"	"2020 "	"2020"	10	22260	Unreliable
	"Bradley County, TN"	"47011"	"2018"	"2018"	Suppressed	14102	Suppressed
	"Bradley County, TN"	"47011"	"2019"	"2019"	11	14431	Unreliable
	"Bradley County, TN"	"47011"	"2020 "	"2020"	Suppressed	15018	Suppressed
	"Campbell County, TN"	"47013"	"2018"	"2018"	Suppressed	6376	Suppressed
	"Campbell County, TN"	"47013"	"2019"	"2019"	Suppressed	6459	Suppressed
	"Campbell County, TN"	"47013"	"2020 "	"2020"	Suppressed	6484	Suppressed
	"Cannon County, TN"	"47015"	"2018"	"2018"	Suppressed	2052	Suppressed
	"Cannon County, TN"	"47015"	"2019"	"2019"	Suppressed	2121	Suppressed
	"Cannon County, TN"	"47015"	"2020 "	"2020"	Suppressed	2086	Suppressed
	"Carroll County, TN"	"47017"	"2018"	"2018"	Suppressed	4337	Suppressed
	"Carroll County, TN"	"47017"	"2019"	"2019"	Suppressed	4363	Suppressed
	"Carroll County, TN"	"47017"	"2020 "	"2020"	Suppressed	4436	Suppressed
	"Carter County, TN"	"47019"	"2018"	"2018"	Suppressed	9444	Suppressed
	"Carter County, TN"	"47019"	"2019"	"2019"	Suppressed	9634	Suppressed
	"Carter County, TN"	"47019"	"2020 "	"2020"	10	9895	Unreliable
	"Cheatham County, TN"	"47021"	"2018"	"2018"	Suppressed	4970	Suppressed
	"Cheatham County, TN"	"47021"	"2019"	"2019"	Suppressed	5186	Suppressed
	"Cheatham County, TN"	"47021"	"2020 "	"2020"	Suppressed	5370	Suppressed
	"Chester County, TN"	"47023"	"2018"	"2018"	Suppressed	2229	Suppressed
	"Chester County, TN"	"47023"	"2019"	"2019"	Suppressed	2245	Suppressed
	"Chester County, TN"	"47023"	"2020 "	"2020"	Suppressed	2361	Suppressed
	"Claiborne County, TN"	"47025"	"2018"	"2018"	10	5010	Unreliable
	"Claiborne County, TN"	"47025"	"2019"	"2019"	Suppressed	5139	Suppressed
	"Claiborne County, TN"	"47025"	"2020 "	"2020"	Suppressed	5240	Suppressed
	"Clay County, TN"	"47027"	"2018"	"2018"	Suppressed	1453	Suppressed
